trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
0,0,0,0,2015_Jun_02_1239,59.9405496867,untitled,001,998,
1,0,1,0,2015_Jun_02_1239,59.9405496867,untitled,001,998,
2,0,2,0,2015_Jun_02_1239,59.9405496867,untitled,001,998,
3,0,3,0,2015_Jun_02_1239,59.9405496867,untitled,001,998,
4,0,4,0,2015_Jun_02_1239,59.9405496867,untitled,001,998,
5,0,5,0,2015_Jun_02_1239,59.9405496867,untitled,001,998,
6,0,6,0,2015_Jun_02_1239,59.9405496867,untitled,001,998,
7,0,7,0,2015_Jun_02_1239,59.9405496867,untitled,001,998,
8,0,8,0,2015_Jun_02_1239,59.9405496867,untitled,001,998,
9,0,9,0,2015_Jun_02_1239,59.9405496867,untitled,001,998,
