Color,Shape,StopOrGo,Amount,ColorLoop.thisRepN,ColorLoop.thisTrialN,ColorLoop.thisN,ColorLoop.thisIndex,ShapeLoop.thisRepN,ShapeLoop.thisTrialN,ShapeLoop.thisN,ShapeLoop.thisIndex,RewardAmountLoop.thisRepN,RewardAmountLoop.thisTrialN,RewardAmountLoop.thisN,RewardAmountLoop.thisIndex,ok1.keys,ok1.rt,expName,gender (m/f),age,frameRate,session,date,participant,
orange,,,,0,0,0,2,,,,,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
white,,,,0,1,1,1,,,,,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
yellow,,,,0,2,2,0,,,,,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
green,,,,0,3,3,4,,,,,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
gray,,,,0,4,4,5,,,,,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
cyan,,,,0,5,5,6,,,,,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
magenta,,,,0,6,6,3,,,,,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
blue,,,,0,7,7,7,,,,,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,square,,,,,,,0,0,0,1,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,cross,,,,,,,0,1,1,6,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,diamond,,,,,,,0,2,2,5,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,circle,,,,,,,0,3,3,7,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,hexagon,,,,,,,0,4,4,4,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,invertedTriangle,,,,,,,0,5,5,3,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,line,,,,,,,0,6,6,2,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,triangle,,,,,,,0,7,7,0,,,,,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,,Go,1,,,,,,,,,0,0,0,3,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,,Stop,0.5,,,,,,,,,0,1,1,0,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,,Go,2,,,,,,,,,0,2,2,5,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,,Stop,4,,,,,,,,,0,3,3,6,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,,Stop,2,,,,,,,,,0,4,4,4,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,,Go,4,,,,,,,,,0,5,5,7,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,,Go,0.5,,,,,,,,,0,6,6,1,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,,Stop,1,,,,,,,,,0,7,7,2,,,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
,,,,,,,,,,,,,,,,space,1.06515908241,LearningTask,m,30,60.0625212115,3,2015_Mar_04_1445,66,
