xPos,location,ShapeStimulus,Shape,yPos,corrAns,numVertices,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,space,0.990929841995,,,,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,down_right,diamondmagenta.gif,Circle,-200,h,,0,0,0,11,,,,,,,h,1,0.400317907333,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,down_right,diamondgray.gif,Line,-200,h,,0,1,1,8,,,,,,,h,1,0.317850112915,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,up_left,circlemagenta.gif,Triangle,200,t,,0,2,2,5,,,,,,,t,1,0.299865007401,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,down_left,hexagonmagenta.gif,Triangle,-200,g,,0,3,3,13,,,,,,,g,1,0.33406496048,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,up_right,crosscyan.gif,Line,200,y,,0,4,4,0,,,,,,,y,1,0.300354003906,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,down_left,hexagongreen.gif,Square,-200,g,,0,5,5,14,,,,,,,g,1,0.317865848541,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,up_left,circlegreen.gif,Line,200,t,,0,6,6,4,,,,,,,t,1,0.283546209335,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,down_right,diamondwhite.gif,Square,-200,h,,0,7,7,10,,,,,,,h,1,0.35142493248,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,up_right,crossgray.gif,Triangle,200,y,,0,8,8,1,,,,,,,y,1,0.251435041428,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,up_left,circlecyan.gif,Circle,200,t,,0,9,9,7,,,,,,,t,1,0.23356795311,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,down_left,hexagongray.gif,Circle,-200,g,,0,10,10,15,,,,,,,g,1,0.317153930664,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,up_left,circlewhite.gif,Square,200,t,,0,11,11,6,,,,,,,t,1,0.351098060608,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,down_left,hexagonyellow.gif,Line,-200,g,,0,12,12,12,,,,,,,g,1,0.333889007568,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,down_right,diamondorange.gif,Triangle,-200,h,,0,13,13,9,,,,,,,h,1,0.284759998322,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,up_right,crossyellow.gif,Circle,200,y,,0,14,14,3,,,,,,,y,1,0.234089851379,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,up_right,crossorange.gif,Square,200,y,,0,15,15,2,,,,,,,y,1,0.301755189896,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,down_right,,Triangle,-200,h,3,,,,,0,0,0,9,,,h,1,0.318502902985,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,down_right,,Circle,-200,h,90,,,,,0,1,1,11,,,h,1,0.418113946915,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,down_left,,Square,-200,g,4,,,,,0,2,2,14,,,g,1,0.350368976593,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,up_left,,Triangle,200,t,3,,,,,0,3,3,5,,,t,1,0.251090049744,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,up_left,,Line,200,t,2,,,,,0,4,4,4,,,t,1,0.333714008331,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,down_left,,Line,-200,g,2,,,,,0,5,5,12,,,g,1,0.317454099655,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,up_right,,Circle,200,y,90,,,,,0,6,6,3,,,y,1,0.317703962326,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,down_right,,Line,-200,h,2,,,,,0,7,7,8,,,h,1,0.267604827881,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,down_left,,Triangle,-200,g,3,,,,,0,8,8,13,,,t,0,0.317317008972,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,down_right,,Square,-200,h,4,,,,,0,9,9,10,,,h,1,0.351526975632,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,up_left,,Circle,200,t,90,,,,,0,10,10,7,,,t,1,0.284078121185,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,up_right,,Triangle,200,y,3,,,,,0,11,11,1,,,y,1,0.284488201141,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,up_left,,Square,200,t,4,,,,,0,12,12,6,,,g,0,0.317898035049,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,up_right,,Square,200,y,4,,,,,0,13,13,2,,,y,1,0.316782951355,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,up_right,,Line,200,y,2,,,,,0,14,14,0,,,y,1,0.283696174622,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,down_left,,Circle,-200,g,90,,,,,0,15,15,15,,,g,1,0.284060001373,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,up_left,,Square,200,t,4,,,,,1,0,16,6,,,t,1,0.249655008316,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,down_right,,Triangle,-200,h,3,,,,,1,1,17,9,,,h,1,0.317487001419,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,up_left,,Line,200,t,2,,,,,1,2,18,4,,,t,1,0.251119852066,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,up_left,,Triangle,200,t,3,,,,,1,3,19,5,,,t,1,0.284601926804,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,up_right,,Square,200,y,4,,,,,1,4,20,2,,,y,1,0.250950813293,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,down_left,,Square,-200,g,4,,,,,1,5,21,14,,,g,1,0.335007190704,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,down_right,,Square,-200,h,4,,,,,1,6,22,10,,,h,1,0.351393938065,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,down_left,,Line,-200,g,2,,,,,1,7,23,12,,,t,0,0.38369011879,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,down_right,,Circle,-200,h,90,,,,,1,8,24,11,,,h,1,0.367469072342,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
200,down_right,,Line,-200,h,2,,,,,1,9,25,8,,,h,1,0.384037971497,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
-200,down_left,,Circle,-200,g,90,,,,,1,10,26,15,,,g,1,0.316920995712,LearningTask,,,60.0726720662,3,2015_Feb_23_0835,998,
